project_id,project_location,geographic_location,tower_type,budget_crore_inr,project_duration_months,seasonality_factor,material_id,material_unit_price_inr,material_lead_time_days,supplier_reliability_score,service_level_requirement_pct,inventory_holding_cost_pct,transportation_cost_pct,market_price_volatility,resource_availability,supply_chain_disruption_risk,historical_demand_variation_pct,total_demand_quantity,safety_stock,reorder_point,eoq,optimal_order_frequency_days,total_supply_chain_cost_inr
1,Shimla,Hilly,Dead-End,1535,24,Winter,Steel_Tons,75000,45,0.92,0.95,0.2,0.08,High,Medium,8,0.25,6845,348,1205,394,41,524464151
2,Mumbai,Urban,Tangent,332,12,Monsoon,Conductor_KM,207500,20,0.98,0.9,0.18,0.03,Medium,High,3,0.15,170,9,39,40,28,36151397
3,Jaipur,Rural,Angle,996,18,Dry,Insulators_Units,1250,30,0.95,0.95,0.22,0.05,Low,High,4,0.2,36100,1051,4061,4247,21,47894901
4,Leh,Hilly,Angle,1286,30,Winter,Steel_Tons,79000,60,0.88,0.99,0.25,0.1,High,Low,9,0.3,4585,417,1104,269,22,376601461
5,Delhi,Urban,Dead-End,788,15,Dry,Conductor_KM,215800,25,0.99,0.95,0.19,0.02,High,High,2,0.18,750,56,231,118,24,166136638
6,Patna,Rural,Tangent,498,14,Monsoon,Insulators_Units,1160,28,0.96,0.9,0.21,0.06,Medium,Medium,5,0.22,13250,534,1780,2681,20,16240527
7,Guwahati,Hilly,Tangent,1079,28,Monsoon,Steel_Tons,76500,50,0.9,0.95,0.23,0.09,Medium,Low,7,0.28,3910,262,948,242,22,309224219
8,Pune,Urban,Angle,622,16,Dry,Conductor_KM,211650,22,0.97,0.9,0.18,0.03,Low,High,3,0.16,350,17,112,65,21,75513025
9,Bhopal,Rural,Dead-End,1577,20,Dry,Insulators_Units,1328,35,0.94,0.99,0.24,0.05,Medium,High,4,0.21,92250,3782,9044,7920,17,127428406
10,Srinagar,Hilly,Angle,1328,32,Winter,Steel_Tons,81340,65,0.85,0.99,0.26,0.11,High,Low,10,0.32,4720,490,1315,259,21,400036511
11,Chennai,Urban,Tangent,373,13,Monsoon,Conductor_KM,209160,21,0.98,0.9,0.19,0.02,Medium,High,2,0.17,190,10,63,44,25,40756237
12,Lucknow,Rural,Angle,1037,19,Winter,Insulators_Units,1250,32,0.95,0.95,0.22,0.05,Low,High,4,0.2,37562,1128,4434,4352,21,49801743
13,Tawang,Hilly,Dead-End,1618,36,Winter,Steel_Tons,83000,70,0.82,0.99,0.28,0.12,High,Low,10,0.35,7520,836,2571,372,21,648551376
14,Hyderabad,Urban,Angle,664,17,Dry,Conductor_KM,214140,24,0.99,0.9,0.18,0.03,Medium,High,2,0.16,374,19,139,68,21,81434703
15,Ranchi,Rural,Tangent,539,15,Monsoon,Insulators_Units,1160,29,0.96,0.95,0.21,0.06,Low,Medium,5,0.21,14437,605,2002,2808,20,17638579
16,Dehradun,Hilly,Tangent,1120,29,Winter,Steel_Tons,77190,55,0.9,0.95,0.23,0.09,Medium,Medium,7,0.28,3945,282,1021,240,21,315504746
17,Kolkata,Urban,Dead-End,830,16,Monsoon,Conductor_KM,217460,26,0.98,0.95,0.19,0.02,High,High,3,0.18,790,61,291,123,24,176479327
18,Nagpur,Rural,Angle,1079,20,Dry,Insulators_Units,1250,33,0.94,0.95,0.22,0.05,Low,High,4,0.2,39025,1194,4916,4436,22,51729999
19,Manali,Hilly,Angle,1369,33,Winter,Steel_Tons,82170,68,0.84,0.99,0.26,0.11,High,Low,10,0.32,4855,524,1427,260,21,415709152
20,Bangalore,Urban,Tangent,415,14,Dry,Conductor_KM,210000,22,0.99,0.9,0.19,0.02,Medium,High,2,0.17,210,12,79,47,24,45241972
21,Raipur,Rural,Dead-End,1660,22,Dry,Insulators_Units,1328,38,0.93,0.99,0.24,0.05,Medium,High,4,0.21,97000,4196,10557,8111,18,133228234
22,Gangtok,Hilly,Tangent,1162,30,Monsoon,Steel_Tons,78020,58,0.89,0.95,0.24,0.1,Medium,Low,8,0.3,4080,317,1184,239,21,331424910
